tag,step,value
Episode_Termination/nan_state,0,0
Episode_Termination/nan_state,1,0
Episode_Termination/nan_state,2,0
Episode_Termination/nan_state,3,0
Episode_Termination/nan_state,4,0
Episode_Termination/out_of_terrain_bounds,0,0
Episode_Termination/out_of_terrain_bounds,1,0
Episode_Termination/out_of_terrain_bounds,2,0
Episode_Termination/out_of_terrain_bounds,3,0
Episode_Termination/out_of_terrain_bounds,4,0
Episode_Termination/time_out,0,0
Episode_Termination/time_out,1,0.0416666679
Episode_Termination/time_out,2,0
Episode_Termination/time_out,3,0
Episode_Termination/time_out,4,0
Loss/entropy,0,19.8606358
Loss/entropy,1,19.8629913
Loss/entropy,2,19.8634262
Loss/entropy,3,19.8572521
Loss/entropy,4,19.8487587
Loss/learning_rate,0,9.99999975e-06
Loss/learning_rate,1,9.99999975e-06
Loss/learning_rate,2,9.99999975e-06
Loss/learning_rate,3,9.99999975e-06
Loss/learning_rate,4,9.99999975e-06
Loss/surrogate,0,-0.0504686683
Loss/surrogate,1,-0.0785150379
Loss/surrogate,2,-0.078820467
Loss/surrogate,3,-0.0768936276
Loss/surrogate,4,-0.0722250044
Loss/value,0,0.0221806522
Loss/value,1,0.0569962002
Loss/value,2,0.0351391174
Loss/value,3,0.042114988
Loss/value,4,0.0402278453
Metrics/air_time_mean,0,0.0385713913
Metrics/air_time_mean,1,0.0623196624
Metrics/air_time_mean,2,0.0494860709
Metrics/air_time_mean,3,0.0547593832
Metrics/air_time_mean,4,0.0438928194
Metrics/angular_momentum_mean,0,0.0158508997
Metrics/angular_momentum_mean,1,0.0145843728
Metrics/angular_momentum_mean,2,0.0140216602
Metrics/angular_momentum_mean,3,0.0110727185
Metrics/angular_momentum_mean,4,0.0148537075
Metrics/peak_height_mean,0,0.00578989601
Metrics/peak_height_mean,1,0.00545138819
Metrics/peak_height_mean,2,0.0196651686
Metrics/peak_height_mean,3,0.014969483
Metrics/peak_height_mean,4,0.0122380825
Metrics/slip_velocity_mean,0,0.148318186
Metrics/slip_velocity_mean,1,0.131109163
Metrics/slip_velocity_mean,2,0.11678201
Metrics/slip_velocity_mean,3,0.118292846
Metrics/slip_velocity_mean,4,0.143676028
Metrics/twist/error_vel_xy,0,0
Metrics/twist/error_vel_xy,1,0.024169445
Metrics/twist/error_vel_xy,2,0.0316855721
Metrics/twist/error_vel_xy,3,0.0349396504
Metrics/twist/error_vel_xy,4,0.0281095561
Metrics/twist/error_vel_yaw,0,0
Metrics/twist/error_vel_yaw,1,0.137440309
Metrics/twist/error_vel_yaw,2,0.134693995
Metrics/twist/error_vel_yaw,3,0.153171703
Metrics/twist/error_vel_yaw,4,0.171592593
Perf/collection_time,0,0.914386988
Perf/collection_time,1,1.06285596
Perf/collection_time,2,1.08731914
Perf/collection_time,3,1.22801399
Perf/collection_time,4,1.06284714
Perf/learning_time,0,0.0734579563
Perf/learning_time,1,0.0656659603
Perf/learning_time,2,0.0837500095
Perf/learning_time,3,0.062567234
Perf/learning_time,4,0.0712339878
Perf/total_fps,0,194
Perf/total_fps,1,170
Perf/total_fps,2,163
Perf/total_fps,3,148
Perf/total_fps,4,169
Policy/mean_std,0,0.999676049
Policy/mean_std,1,1.00000572
Policy/mean_std,2,0.999736905
Policy/mean_std,3,0.999106288
Policy/mean_std,4,0.998575687
Train/mean_episode_length,1,32.5
Train/mean_episode_length,2,32.1666679
Train/mean_episode_length,3,35.294117
Train/mean_episode_length,4,35.7083321
Train/mean_episode_length/time,2,32.5
Train/mean_episode_length/time,3,32.1666679
Train/mean_episode_length/time,4,35.294117
Train/mean_episode_length/time,5,35.7083321
Train/mean_reward,1,-0.0614415631
Train/mean_reward,2,0.00705340831
Train/mean_reward,3,0.0897520036
Train/mean_reward,4,0.0949743986
Train/mean_reward/time,2,-0.0614415631
Train/mean_reward/time,3,0.00705340831
Train/mean_reward/time,4,0.0897520036
Train/mean_reward/time,5,0.0949743986
